"","Products.Brand.Name","Inventory.Conversion.Inputs.Outputs.Output.Product","Strain.Name","Inventory.Conversions.Batch.Name","Inventory.Conversion.Inputs.Outputs.Output.Package.ID","Batch.Harvest.Date","Batch.Lab.Results.Lab.Result.URL","Products.Vendor.Name","Inventory.Producer.Name","Manufacturing.Date"
"79","GRÄS Cannabis","GG4 3.5g","GG4","GG4 GH6 Bay 1 12.29.23",57079,"2023-12-29","https://orders.confidentcannabis.com/report/public/pdf/827b3ae8-9cd9-498a-83e3-37830761ae96","Forever 46, LLC - 00000057DCHF00477864","CJK, Inc. - 00000003DCOU00038157","2024-03-21"
"80","GRÄS Cannabis","Blue Dream 3.5g","Blue Dream","Blue Dream GH6 Bay 1 12.29.23",57068,"2023-12-29","https://orders.confidentcannabis.com/report/public/pdf/fbccd733-caef-414c-a58d-1f44b5978a14","Forever 46, LLC - 00000057DCHF00477864","CJK, Inc. - 00000003DCOU00038157","2024-03-20"
"81","GRÄS Cannabis","Tangerine Kush 3.5g","Tangerine Kush","Tangerine Kush GH6 Bay 2 01.05.24",57066,"2024-01-05","https://orders.confidentcannabis.com/report/public/pdf/519dc3ee-f14c-456a-9c66-666e861a99d5","Forever 46, LLC - 00000057DCHF00477864","CJK, Inc. - 00000003DCOU00038157","2024-03-20"
"82","iLAVA","GOLD Disposable Cartridge 1000mg - Hawaiian Haze","Hawaiian Haze","231121-006HH",57030,"2023-07-17","https://orders.confidentcannabis.com/report/public/pdf/a40df4fc-8f8d-4f55-847f-3ae5e184c9e5","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-02-06"
"83","GRÄS Cannabis","Fresh Fritter 3.5g","Fresh Fritter","FrFr-240117.0001-W3",57029,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/9cb81f6f-b8c6-407e-b64e-c0a123626a50","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-20"
"84","ZENZONA","zenzona Vegan Gummies Prickly Pear 100mg - Hybrid","Hybrid Blend","221220-002-PRP",57011,"2022-10-03","https://lims.tagleaf.com/coas/NKpygdUaKLZWydKEmF6HAczZ04oyYoLaj1GvXnyRYisv383C6X","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-07-26"
"85","DTF - Downtown Flower","White Truffle 3.5g","White Truffle","317s-240117.0001-W3",57010,"2024-01-17",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-20"
"86","ZENZONA","zenzona Vegan Gummies Italian Zorbet 100mg RSO - Sativa","Sativa","230811-001-IZ",56967,"2023-06-21","https://tinyurl.com/5n6w5ewf","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-09-25"
"87","INDICA PM","Indica PM Chocolates Dark 100mg","Indica Blend","221101-002-IPM",56917,"2022-11-01","https://orders.confidentcannabis.com/report/public/pdf/312e54ed-6d0d-44b9-bb83-276ef1bef5d7","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-02-01"
"88","ZENZONA","zenzona Vegan Gummies Wildberry 100mg - Indica","Hybrid Blend","221220-002-ZWLD",56894,"2022-10-03","https://lims.tagleaf.com/coas/mSfWW7yZrTfNQEmG8dgZzFlr8EeK2wI8Xs4yFZXw3iRP2vRQ4c","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-07-26"
"89","ZENZONA","zenzona Vegan Gummies Italian Zorbet 100mg RSO - Sativa","Sativa","230811-001-IZ",56893,"2023-06-21","https://tinyurl.com/5n6w5ewf","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2023-09-25"
"90","iLAVA","Magma Crumble 2.5g - Blue Dream","Blue Dream","240202-002",56881,"2023-11-30","https://orders.confidentcannabis.com/report/public/pdf/b11e8b67-2310-42c9-b473-234c9f86f0bf","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-02-02"
"91","iLAVA","Magma Crumble 1g - Blue Dream","Blue Dream","240202-002",56880,"2023-11-30","https://orders.confidentcannabis.com/report/public/pdf/b11e8b67-2310-42c9-b473-234c9f86f0bf","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-02-02"
"92","High Scorez","High Scorez Comboz Infused 4pk Prerolls 2.4g - Fatso x Guava Cross","Fatso x Guava Cross","224-231214.01-W50-4pkIPR",56879,"2023-12-14",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
